Junction,Easting,Northing,Elevation,RiverKM
J_Shimuno_trib,378752.27554,4011043.65556,640.96000,175.6
J_176,378400.10916,4011178.37757,638.28000,176
J_177,377715.61178,4011731.62029,634.59000,177
J_178,376738.08556,4011742.07658,630.70000,178
J_179,375797.13347,4011991.77604,629.55000,179
J_180,374811.28978,4011884.95930,627.19000,180
J_181,373891.23761,4011532.09493,626.90000,181
J_182,373040.96216,4011038.50667,622.48000,182
J_183,372321.05477,4010363.34164,619.24000,183
J_184,372095.03641,4009412.46090,618.58000,184
J_185,371971.95315,4008426.78686,618.25000,185
J_186,371712.75699,4007487.49779,618.07000,186
J_187,370848.30436,4007030.92793,615.90000,187
J_RoyalArch_trib,369572.07093,4006889.04065,615.10000,188.3
J_189,369176.08541,4007373.18493,613.68000,189
J_190,369214.61634,4008358.99069,613.04000,190
J_191,369224.75795,4009346.33337,612.57000,191
J_192,369059.03770,4010319.67619,610.32000,192
J_193,368492.24484,4011129.31162,609.66000,193
J_194,367627.53640,4011508.56723,609.12000,194
J_195,366694.02851,4011751.37938,606.54000,195
J_196,365724.01803,4011897.21471,606.40000,196
J_197,364749.89942,4012019.92222,604.72000,197
J_198,363796.42691,4012156.84136,603.83000,198
J_199,363085.61816,4012771.60625,601.57000,199
J_200,362607.60000,4013626.86541,599.57000,200
J_201,362598.88396,4014565.71714,598.07000,201
J_202,363166.61873,4015281.32951,596.70000,202
J_203,363947.56093,4015831.63690,592.30000,203
J_204,364819.84636,4016277.39838,590.79000,204
J_RM127_up,365290.55826,4017110.04410,589.04000,205
J_RM127_down,365380.54384,4017288.40190,587.56000,205.2
J_206,365588.54215,4018040.80671,586.93000,206
J_207,366118.28918,4018862.59254,585.41000,207
J_208,366835.07511,4019555.04529,584.18000,208
J_209,367563.92138,4020227.39662,581.56000,209
J_210,368328.23646,4020865.97966,581.38000,210
J_211,368896.64604,4021666.25138,580.29000,211
J_212,369417.87047,4022499.44436,577.75000,212
J_Stone_trib,369423.99385,4023389.22610,575.73000,212.9
J_RM132_up,369325.42026,4024478.09005,572.51000,214
J_RM132_down,369251.94460,4024664.49637,572.43000,214.2
J_215,368849.05738,4025351.86110,571.79000,215
J_Tapeats_trib,368134.38245,4026037.32950,571.45000,216
J_217,367320.51448,4026601.21684,566.13000,217
J_218,366488.14402,4027122.19674,562.75000,218
J_219,365651.88097,4027628.89695,562.12000,219
J_Dear_trib,364659.21949,4028070.43963,561.81000,220.1
J_221,363813.79866,4028347.78067,558.68000,221
J_222,363015.55297,4028876.34272,558.39000,222
J_223,362125.73772,4029309.90415,556.09000,223
J_224,361149.88702,4029429.80703,553.61000,224
J_225,360157.84565,4029451.32533,550.84000,225
J_226,359172.01236,4029319.72635,550.03000,226
J_227,358218.88242,4029034.57172,548.52000,227
J_228,357250.41487,4029069.35083,547.53000,228
J_229,356270.30940,4029105.54139,546.26000,229
J_230,355372.43315,4028677.74077,546.17000,230
J_231,354377.13337,4028618.96625,546.15000,231
J_Kanab_trib,353781.98281,4028604.58359,546.14000,231.6
J_232,353389.76150,4028536.86802,543.02000,232
J_233,352526.90784,4028049.94725,539.56000,233
J_234,352046.18510,4027210.35269,538.14000,234
J_235,351932.91662,4026226.89461,535.90000,235
J_236,351635.24580,4025288.76032,533.94000,236
J_237,351042.11772,4024492.19579,533.41000,237
J_238,350353.38510,4023769.44596,533.23000,238
J_Matkatamiba_trib,349867.29914,4023422.74822,533.06000,238.6
J_239.5,349030.97728,4023175.37832,531.07000,239.5
J_RM149_up,348648.37016,4023613.71607,530.89000,240.1
J_RM149_down,348588.59834,4023907.71832,530.72000,240.4
J_241,348430.21115,4024480.86829,530.36000,241
J_242,347512.35861,4024673.40473,526.09000,242
J_243,346626.50114,4024221.84420,525.16000,243
J_244,345688.01395,4023905.58117,524.21000,244
J_245,345061.80131,4023218.73580,523.56000,245
J_246,345267.72545,4022250.71985,522.47000,246
J_247,345588.00210,4021317.29786,521.32000,247
J_248,344999.47708,4020608.69525,519.66000,248
J_249,344034.16611,4020749.16231,518.52000,249
J_250,343223.47742,4021329.72371,518.07000,250
J_251,342311.49090,4021266.34428,517.25000,251
J_252,342018.80692,4020337.27369,516.20000,252
J_Havasu_trib,341655.12165,4019527.13673,515.97000,252.9
J_254,340731.99613,4018990.25862,514.48000,254
J_255,339739.89516,4018971.88471,513.64000,255
J_256,339317.69542,4018130.73013,511.97000,256
J_257,339122.78889,4017176.62776,511.28000,257
J_258,338218.51635,4017028.06017,509.93000,258
J_259,337317.16383,4017445.50545,509.32000,259
